,date,currency_code,from_myr,to_myr,cpi,cpi_growth_rate,gdp,interest_rate
5563,2020-08-14,KRW,282.2106,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5564,2020-08-17,KRW,282.8752,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5565,2020-08-18,KRW,282.7567,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5566,2020-08-19,KRW,282.9767,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5567,2020-08-21,KRW,283.9358,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5568,2020-08-24,KRW,284.7243,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5569,2020-08-25,KRW,284.2167,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5570,2020-08-26,KRW,284.7134,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5571,2020-08-27,KRW,284.3006,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5572,2020-08-28,KRW,283.5561,0.0035,104.86,-0.00953561552398695,2.243977860110121,4.321429492890669
5573,2020-09-01,KRW,285.3309,0.0035,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5574,2020-09-02,KRW,285.9742,0.0035,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5575,2020-09-03,KRW,286.4888,0.0035,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5576,2020-09-04,KRW,287.1465,0.0035,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5577,2020-09-07,KRW,286.0914,0.0035,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5578,2020-09-08,KRW,285.3378,0.0035,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5579,2020-09-09,KRW,284.9671,0.0035,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5580,2020-09-10,KRW,284.6885,0.0035,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5581,2020-09-11,KRW,285.9208,0.0035,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5582,2020-09-14,KRW,285.3597,0.0035,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5583,2020-09-15,KRW,285.595,0.0035,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5584,2020-09-17,KRW,283.7232,0.0035,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5585,2020-09-18,KRW,281.5772,0.0036,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5586,2020-09-21,KRW,282.3452,0.0035,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5587,2020-09-22,KRW,281.3731,0.0036,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5588,2020-09-23,KRW,281.6108,0.0036,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5589,2020-09-24,KRW,281.294,0.0036,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5590,2020-09-25,KRW,280.82,0.0036,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5591,2020-09-28,KRW,281.6108,0.0036,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5592,2020-09-29,KRW,280.82,0.0036,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5593,2020-09-30,KRW,281.4523,0.0036,105.5,0.610337592981118,2.243977860110121,4.321429492890669
5594,2020-10-01,KRW,280.5836,0.0036,106.2,0.663507109004742,2.243977860110121,4.321429492890669
